category,vendor,description,amount
Food & Dining,Pizza Hut,meal delivery lunch,918.85
Entertainment,AMC Theaters,music entertainment movie #8868,38.73
Bills & Utilities,Electric Company,payment service utility,531.71
Transportation,BP,fuel ride taxi #1341,34.16
Transportation,Metro,fuel ride taxi,5.54
Transportation,Metro,gas transportation fuel #1248,25.61
Entertainment,Spotify,movie game entertainment,27.24
Shopping,Nike,purchase shoes electronics,84.21
Entertainment,Steam,game movie,43.05
Groceries,Trader Joes,meat,134.22
Groceries,Walmart,produce groceries bread,87.89
Healthcare,Local Clinic,health prescription doctor,23.16
Food & Dining,Subway,delivery lunch dinner #6389,98.14
Transportation,Uber,gas,74.21
Bills & Utilities,Electric Company,service,284.77
Healthcare,Local Clinic,medicine,429.53
Entertainment,AMC Theaters,music game,41.17
Bills & Utilities,AT&T,bill payment,109.62
Groceries,Kroger,food bread,88.31
Groceries,Safeway,produce,137.69
Groceries,Walmart,meat dairy produce #4292,152.37
Groceries,Kroger,groceries dairy,141.69
Food & Dining,McDonalds,lunch restaurant,794.12
Others,Various Services,misc general other,728.78
Entertainment,Xbox,game music #6153,30.74
Bills & Utilities,Water Service,utility payment bill,352.44
Bills & Utilities,AT&T,monthly bill #8933,262.22
Shopping,Nike,accessories purchase #8812,265.11
Food & Dining,Pizza Hut,restaurant delivery #9916,98.27
Healthcare,CVS,prescription health doctor,268.3
Food & Dining,Pizza Hut,delivery restaurant,652.67
Shopping,Target,electronics clothes shoes,156.25
Food & Dining,Subway,delivery,377.0
Healthcare,Quest Diagnostics,medical prescription health,366.22
Bills & Utilities,Water Service,payment,141.14
Transportation,Lyft,transportation taxi,12.24
Shopping,Amazon,purchase,212.52
Food & Dining,Pizza Hut,restaurant meal lunch #6736,666.19
Bills & Utilities,Electric Company,utility payment service #3427,764.87
Transportation,BP,taxi transportation,44.92
Healthcare,Local Clinic,doctor,395.87
Others,Various Services,misc general,92.7
Food & Dining,Local Restaurant,lunch,757.09
Entertainment,Xbox,game movie streaming,40.86
Entertainment,Netflix,streaming,30.3
Healthcare,CVS,health doctor medical,320.73
Others,Various Services,service,574.88
Food & Dining,Subway,lunch delivery,160.41
Transportation,Shell,gas #6817,40.57
Others,Unknown Vendor,payment,703.24
Shopping,Best Buy,clothes electronics #9384,71.63
Bills & Utilities,Water Service,utility payment monthly #4379,861.52
Groceries,Trader Joes,produce food bread #6227,182.03
Healthcare,Quest Diagnostics,prescription medical doctor,300.57
Transportation,BP,taxi,56.23
Food & Dining,McDonalds,meal dinner lunch,505.31
Bills & Utilities,Water Service,monthly #9781,132.37
Others,Unknown Vendor,payment other,467.41
Others,Various Services,service misc other,241.84
Groceries,Whole Foods,dairy,89.45
Groceries,Safeway,dairy,190.46
Transportation,Shell,transit gas,5.52
Shopping,Target,purchase accessories,135.67
Shopping,Target,clothes electronics accessories,234.79
Bills & Utilities,Electric Company,monthly,480.93
Entertainment,Xbox,streaming,39.14
Bills & Utilities,Verizon,utility,957.99
Groceries,Trader Joes,groceries #3004,72.47
Groceries,Trader Joes,bread produce dairy,46.2
Others,Various Services,misc other general,116.98
Food & Dining,Local Restaurant,lunch #5611,539.34
Others,Various Services,service misc #9338,968.38
Others,Various Services,service misc #2905,306.21
Healthcare,Local Clinic,medical prescription,40.26
Transportation,Shell,ride taxi,45.04
Transportation,BP,transportation,44.45
Others,Unknown Vendor,payment,970.01
Others,Various Services,other #4887,703.95
Healthcare,CVS,health medicine prescription,173.03
Groceries,Walmart,food,198.18
Transportation,Uber,transit gas,36.66
Groceries,Kroger,food #8324,182.28
Others,Various Services,payment other service,817.7
Groceries,Safeway,food bread,24.21
Bills & Utilities,AT&T,payment bill utility #9105,145.22
Others,Unknown Vendor,misc,392.37
Groceries,Trader Joes,groceries dairy,120.02
Others,Various Services,misc general payment,613.37
Groceries,Safeway,bread,172.78
Entertainment,Xbox,game streaming music #8939,19.16
Entertainment,Steam,streaming,13.41
Bills & Utilities,Verizon,payment utility,122.36
Shopping,H&M,purchase #8236,125.22
Shopping,Nike,clothes #7576,126.2
Entertainment,Netflix,entertainment streaming movie #6340,32.34
Shopping,Target,purchase clothes shoes #5012,265.22
Others,Various Services,service general #1974,724.36
Bills & Utilities,Verizon,monthly #9759,956.11
Food & Dining,Local Restaurant,dinner,867.46
Bills & Utilities,Electric Company,monthly bill payment #3087,977.44
Bills & Utilities,Electric Company,payment #3334,536.45
Others,Unknown Vendor,payment service #3334,635.41
Bills & Utilities,Electric Company,payment monthly bill,996.59
Food & Dining,Subway,restaurant takeout,23.86
Healthcare,Quest Diagnostics,doctor,493.49
Transportation,Shell,transit ride,49.65
Bills & Utilities,Electric Company,service utility,375.13
Healthcare,CVS,health prescription medicine,60.14
Bills & Utilities,Water Service,bill monthly payment,926.96
Others,Various Services,payment,669.98
Food & Dining,Subway,delivery #6586,500.68
Groceries,Whole Foods,produce food bread #3394,56.94
Transportation,Metro,taxi #6567,29.34
Healthcare,Local Clinic,doctor prescription,203.82
Healthcare,CVS,health medical doctor,230.82
Transportation,BP,gas,26.46
Healthcare,CVS,medicine #1248,118.15
Bills & Utilities,Water Service,service monthly,66.58
Shopping,Target,clothes,286.42
Transportation,Uber,fuel transportation ride,67.48
Others,Various Services,payment general,54.23
Healthcare,Local Clinic,medical doctor medicine,462.41
Others,Miscellaneous,general service misc #5630,471.94
Food & Dining,McDonalds,dinner meal,276.71
Transportation,Lyft,taxi,42.43
Others,Various Services,other #5667,659.88
Others,Miscellaneous,general service misc,177.06
Shopping,Nike,purchase clothes #5490,84.76
Transportation,Uber,transportation ride gas #7029,21.81
Groceries,Trader Joes,groceries,76.85
Transportation,BP,ride transit gas,72.94
Entertainment,Xbox,game,13.1
Shopping,Target,shoes clothes,240.23
Food & Dining,Pizza Hut,lunch #2820,943.55
Bills & Utilities,Water Service,service utility,605.25
Food & Dining,Chipotle,dinner delivery lunch #9955,195.67
Food & Dining,Chipotle,takeout #4899,388.98
Groceries,Kroger,produce food,73.46
Bills & Utilities,Verizon,monthly,692.38
Shopping,Best Buy,accessories,153.59
Others,Miscellaneous,general #6387,849.55
Groceries,Kroger,food,178.41
Healthcare,Quest Diagnostics,prescription #8013,307.41
Healthcare,Walgreens,medicine,46.12
Groceries,Trader Joes,bread,53.94
Healthcare,Local Clinic,doctor health,93.85
Entertainment,Steam,streaming entertainment movie #6169,10.62
Bills & Utilities,Water Service,service,69.4
Shopping,Best Buy,clothes #6973,166.48
Groceries,Whole Foods,groceries food,42.14
Transportation,Uber,gas fuel ride #3504,43.68
Groceries,Whole Foods,bread food,144.07
Food & Dining,McDonalds,restaurant meal #2496,889.53
Groceries,Safeway,produce,165.84
Groceries,Whole Foods,produce food,63.22
Shopping,Nike,electronics shoes,285.67
Shopping,Best Buy,clothes accessories purchase,107.16
Entertainment,Xbox,game music entertainment,37.14
Healthcare,Walgreens,health,364.59
Shopping,Amazon,clothes #6342,34.32
Shopping,Amazon,clothes purchase electronics,159.37
Healthcare,Local Clinic,medicine #6970,146.09
Bills & Utilities,Electric Company,bill service payment,591.43
Bills & Utilities,Water Service,monthly,799.97
Transportation,Shell,ride transit,7.99
Bills & Utilities,Verizon,bill service #4412,673.62
Transportation,Uber,gas,12.04
Bills & Utilities,Verizon,bill monthly,523.15
Groceries,Walmart,dairy bread,82.58
Transportation,BP,ride transportation taxi,75.93
Others,Various Services,payment service,169.68
Entertainment,AMC Theaters,entertainment,14.93
Entertainment,Spotify,music entertainment,25.73
Entertainment,Xbox,game,31.93
Food & Dining,Pizza Hut,delivery restaurant lunch #9958,921.86
Shopping,Amazon,shoes electronics,266.66
Groceries,Whole Foods,produce #3907,158.49
Healthcare,CVS,prescription health,332.2
Bills & Utilities,Verizon,payment utility #6634,701.01
Healthcare,Quest Diagnostics,prescription health #3616,482.14
Food & Dining,Local Restaurant,dinner lunch takeout,714.86
Shopping,Amazon,clothes electronics accessories,119.08
Groceries,Kroger,meat groceries,63.8
Others,Miscellaneous,payment service misc #5129,834.52
Healthcare,CVS,health prescription,100.52
Entertainment,Xbox,movie streaming,43.05
Food & Dining,Subway,takeout delivery,991.87
Healthcare,Local Clinic,prescription,429.22
Healthcare,Quest Diagnostics,medicine medical #5313,164.09
Transportation,Uber,gas transportation fuel,73.1
Others,Various Services,general #5829,446.65
Bills & Utilities,Water Service,service bill,844.22
Healthcare,CVS,health medicine medical,382.14
Entertainment,Steam,entertainment,20.47
Shopping,Nike,shoes purchase,61.16
Groceries,Kroger,bread food #2804,65.65
Food & Dining,Local Restaurant,takeout lunch #1885,976.67
Groceries,Whole Foods,dairy groceries bread #1836,187.5
Transportation,BP,transit gas,64.72
Shopping,Best Buy,purchase,237.8
Transportation,Uber,taxi transportation fuel,38.19
Groceries,Whole Foods,groceries meat bread,149.74
Transportation,Uber,ride #9482,59.75
Food & Dining,McDonalds,takeout delivery lunch,468.46
Groceries,Whole Foods,produce groceries bread,108.05
Groceries,Safeway,produce food dairy,179.05
Shopping,H&M,shoes purchase,280.56
Entertainment,Xbox,entertainment music,39.52
Bills & Utilities,Electric Company,service bill monthly,897.52
Shopping,Target,shoes,213.63
Shopping,Amazon,accessories shoes clothes,99.78
Shopping,Target,purchase,82.02
Food & Dining,Local Restaurant,delivery dinner #4388,278.95
Groceries,Walmart,dairy groceries bread,110.18
Bills & Utilities,Water Service,monthly payment #9659,939.28
Healthcare,Walgreens,doctor,98.46
Shopping,Amazon,electronics purchase #5450,278.3
Bills & Utilities,AT&T,payment service bill #9243,294.34
Others,Unknown Vendor,misc other,683.28
Transportation,Shell,ride transportation transit,35.44
Groceries,Kroger,dairy,85.48
Food & Dining,Local Restaurant,restaurant dinner lunch #9388,340.21
Bills & Utilities,AT&T,service bill,479.96
Transportation,Lyft,gas ride #2068,5.53
Others,Miscellaneous,misc other service,420.62
Shopping,Best Buy,accessories shoes,220.68
Food & Dining,Subway,delivery restaurant lunch,616.89
Shopping,Target,clothes,140.89
Shopping,Best Buy,electronics purchase clothes,240.89
Entertainment,Netflix,music streaming,20.12
Healthcare,Local Clinic,prescription medical doctor #4508,38.15
Entertainment,Steam,entertainment #9237,42.03
Food & Dining,Chipotle,meal restaurant dinner,256.79
Healthcare,Local Clinic,doctor,85.55
Food & Dining,Subway,takeout meal #2463,730.77
Entertainment,Xbox,entertainment,40.26
Shopping,H&M,electronics shoes accessories,151.33
Entertainment,Netflix,entertainment game music,48.62
Groceries,Kroger,meat dairy,81.43
Bills & Utilities,AT&T,payment bill,970.05
Transportation,Shell,transit #9555,67.58
Transportation,Shell,transit fuel taxi,74.88
Others,Miscellaneous,general service #8850,616.81
Food & Dining,Subway,restaurant meal,240.63
Entertainment,AMC Theaters,entertainment,18.14
Shopping,Best Buy,shoes accessories,181.19
Shopping,Nike,shoes clothes,296.51
Entertainment,AMC Theaters,streaming music,29.26
Bills & Utilities,AT&T,utility service bill,367.11
Others,Various Services,other,271.52
Others,Various Services,service general misc,144.81
Shopping,Amazon,accessories purchase,74.95
Transportation,Lyft,fuel transportation gas,19.54
Others,Unknown Vendor,misc service payment,761.02
Shopping,Best Buy,purchase electronics,272.9
Shopping,H&M,accessories clothes electronics #6826,225.4
Transportation,Shell,ride fuel,51.4
Bills & Utilities,Electric Company,monthly payment #5126,454.67
Shopping,Best Buy,clothes,230.61
Transportation,Metro,taxi,73.67
Bills & Utilities,Water Service,utility payment #9698,590.54
Others,Various Services,misc #6375,813.31
Bills & Utilities,Electric Company,utility bill payment,699.3
Groceries,Kroger,bread meat groceries #5738,105.11
Entertainment,Xbox,game #9761,11.48
Others,Miscellaneous,other service general #3233,411.3
Bills & Utilities,Verizon,monthly payment #4424,697.25
Healthcare,Quest Diagnostics,health #2097,144.39
Entertainment,Spotify,music entertainment #1672,32.69
Healthcare,CVS,prescription medicine health,22.88
Others,Unknown Vendor,general service,392.26
Healthcare,Quest Diagnostics,doctor medicine health,40.34
Groceries,Walmart,bread dairy groceries #2328,58.48
Groceries,Walmart,food,82.02
Groceries,Trader Joes,dairy bread,103.91
Groceries,Trader Joes,dairy groceries #8696,150.86
Transportation,Metro,taxi transit #1606,78.52
Groceries,Walmart,produce #9478,30.8
Food & Dining,Pizza Hut,takeout dinner,783.13
Shopping,Nike,accessories,237.58
Shopping,Target,purchase,45.7
Food & Dining,Local Restaurant,meal takeout dinner #6304,11.89
Entertainment,Steam,entertainment game music,29.96
Food & Dining,Local Restaurant,takeout delivery meal,207.94
Food & Dining,Subway,meal lunch,758.84
Entertainment,Xbox,streaming,20.96
Groceries,Whole Foods,groceries bread meat,82.02
Groceries,Kroger,dairy groceries food,25.7
Groceries,Safeway,groceries #5826,80.95
Shopping,Best Buy,accessories,216.46
Bills & Utilities,Water Service,payment monthly,422.96
Entertainment,Netflix,movie game,33.96
Groceries,Walmart,dairy meat,102.4
Entertainment,Xbox,movie music #1241,34.97
Groceries,Whole Foods,dairy produce groceries,54.02
Bills & Utilities,Verizon,monthly service utility,865.59
Transportation,Uber,fuel #9302,11.83
Bills & Utilities,AT&T,service utility monthly,918.92
Healthcare,Local Clinic,medicine medical doctor,425.04
Healthcare,Walgreens,medicine doctor,102.18
Bills & Utilities,Electric Company,monthly bill utility #2910,422.09
Shopping,Amazon,shoes #2251,109.08
Others,Unknown Vendor,service,945.29
Food & Dining,Subway,restaurant #5672,753.3
Entertainment,Netflix,movie game,27.58
Healthcare,Walgreens,prescription medicine doctor,220.88
Healthcare,CVS,health,248.96
Groceries,Trader Joes,meat produce dairy,168.86
Shopping,Target,accessories electronics clothes,116.68
Healthcare,Walgreens,prescription health,190.33
Entertainment,Xbox,entertainment music,14.28
Bills & Utilities,Water Service,utility bill #8293,223.56
Healthcare,Quest Diagnostics,prescription,108.81
Shopping,Nike,purchase,228.73
Others,Miscellaneous,payment misc service,221.08
Transportation,Shell,fuel #9072,76.14
Bills & Utilities,Electric Company,payment monthly,508.4
Others,Miscellaneous,general payment #4068,902.5
Shopping,Target,purchase,256.54
Transportation,Metro,taxi gas,19.84
Shopping,H&M,purchase electronics,97.46
Others,Miscellaneous,service #9728,143.04
Entertainment,Steam,entertainment movie,17.54
Others,Unknown Vendor,payment other misc,911.86
Groceries,Whole Foods,produce #4620,72.82
Bills & Utilities,Electric Company,service utility monthly,655.98
Others,Various Services,misc payment #3279,777.63
Bills & Utilities,AT&T,monthly,914.47
Entertainment,Spotify,entertainment movie streaming,31.18
Shopping,Best Buy,purchase shoes clothes #5813,41.27
Food & Dining,Chipotle,dinner meal,88.66
Shopping,Nike,purchase electronics clothes #5045,228.73
Transportation,Uber,fuel,70.64
Transportation,Uber,gas,7.24
Bills & Utilities,Verizon,monthly,209.22
Others,Various Services,service other #5877,820.42
Food & Dining,Subway,delivery dinner takeout,730.54
Shopping,Amazon,accessories shoes,217.76
Shopping,Best Buy,purchase shoes clothes #6803,210.35
Others,Unknown Vendor,general,651.22
Food & Dining,Pizza Hut,takeout restaurant,803.6
Others,Various Services,general other payment #4596,562.16
Others,Miscellaneous,general misc other #5660,592.18
Transportation,Lyft,ride transportation taxi,21.73
Shopping,Target,electronics accessories,31.92
Shopping,Nike,clothes purchase accessories #2945,256.74
Healthcare,Walgreens,medical medicine health #4422,335.2
Transportation,Uber,transit fuel transportation,73.88
Shopping,Nike,clothes shoes accessories,137.28
Healthcare,Walgreens,prescription,273.98
Entertainment,Xbox,music game #5132,25.94
Bills & Utilities,Electric Company,bill service,703.25
Others,Unknown Vendor,general misc,648.09
Healthcare,Quest Diagnostics,prescription,244.84
Transportation,Metro,taxi transportation #3799,63.89
Transportation,BP,transit #1696,40.04
Shopping,Nike,clothes purchase #9778,187.2
Healthcare,Local Clinic,doctor,460.13
Healthcare,CVS,medicine medical #4133,122.76
Groceries,Walmart,meat produce groceries,152.46
Groceries,Whole Foods,bread produce,99.08
Others,Unknown Vendor,payment general other,958.98
Groceries,Safeway,dairy,69.23
Groceries,Trader Joes,groceries dairy #6963,97.45
Groceries,Walmart,produce meat,190.51
Bills & Utilities,Electric Company,utility monthly #9610,751.35
Healthcare,Local Clinic,doctor medical prescription #8039,356.6
Others,Miscellaneous,payment service other,199.61
Shopping,Best Buy,purchase clothes electronics #4273,205.15
Shopping,H&M,electronics accessories,102.58
Healthcare,Local Clinic,medicine prescription,428.14
Healthcare,CVS,medical #6854,391.72
Healthcare,Walgreens,doctor prescription,308.57
Entertainment,Steam,music #9235,27.45
Shopping,Nike,purchase,72.55
Bills & Utilities,AT&T,utility monthly bill,602.43
Transportation,Metro,transportation gas ride,75.51
Transportation,BP,gas,41.85
Shopping,H&M,electronics purchase,78.78
Transportation,Lyft,gas transit,56.09
Healthcare,Quest Diagnostics,prescription medicine,372.37
Transportation,Metro,ride,38.32
Groceries,Walmart,groceries dairy #7307,77.36
Healthcare,Quest Diagnostics,medicine medical,497.09
Entertainment,Steam,movie game #8462,39.76
Others,Various Services,general service other,121.67
Others,Various Services,payment,196.73
Healthcare,Walgreens,health medicine medical,34.24
Others,Miscellaneous,general misc payment,389.13
Bills & Utilities,AT&T,payment utility service,206.52
Healthcare,Quest Diagnostics,health doctor #8071,452.35
Bills & Utilities,AT&T,utility #9360,33.64
Bills & Utilities,Electric Company,service payment,580.45
Healthcare,CVS,prescription #4251,298.97
Others,Miscellaneous,misc general,737.78
Entertainment,Steam,game music streaming #6038,28.27
Bills & Utilities,Verizon,utility monthly payment #6248,238.87
Entertainment,Steam,game movie #5500,23.63
Shopping,Best Buy,clothes #9555,121.97
Others,Miscellaneous,other,190.78
Healthcare,Quest Diagnostics,doctor health medicine,82.4
Entertainment,Spotify,game streaming,46.86
Transportation,Lyft,fuel transit,11.68
Shopping,H&M,electronics purchase,212.06
Shopping,Target,electronics,239.61
Transportation,Metro,transit,29.91
Bills & Utilities,AT&T,utility bill payment #4109,964.49
Healthcare,Local Clinic,doctor medical,93.98
Bills & Utilities,Electric Company,payment utility,257.13
Entertainment,Xbox,game movie music #7615,12.36
Food & Dining,Chipotle,restaurant,752.43
Healthcare,Walgreens,health doctor medical #4965,65.83
Transportation,Shell,ride,43.15
Food & Dining,Subway,dinner meal delivery #4173,264.68
Healthcare,CVS,medical health doctor,418.08
Food & Dining,McDonalds,takeout lunch meal,183.8
Groceries,Walmart,bread #9021,133.95
Bills & Utilities,Electric Company,bill service,18.91
Bills & Utilities,AT&T,monthly,770.73
Healthcare,CVS,health prescription,280.06
Food & Dining,Chipotle,lunch takeout #3158,968.45
Food & Dining,Chipotle,takeout delivery #1556,504.17
Shopping,H&M,purchase clothes,70.04
Bills & Utilities,Verizon,payment,836.58
Transportation,Metro,transit taxi ride,19.46
Others,Unknown Vendor,other general,303.48
Others,Miscellaneous,other,250.41
Healthcare,Quest Diagnostics,doctor health medical,135.81
Entertainment,Steam,streaming entertainment #6121,46.04
Transportation,BP,transit gas transportation,17.69
Entertainment,Steam,movie,34.25
Bills & Utilities,Electric Company,service,638.43
Shopping,H&M,electronics #6685,74.87
Bills & Utilities,AT&T,monthly,585.14
Food & Dining,Local Restaurant,meal lunch dinner,149.53
Others,Various Services,service payment other,323.28
Healthcare,Walgreens,health medicine #3263,306.03
Bills & Utilities,Water Service,monthly utility #4160,822.96
Entertainment,Netflix,movie #4558,29.48
Others,Unknown Vendor,payment misc service,167.47
Entertainment,Netflix,entertainment streaming,31.03
Others,Unknown Vendor,misc payment service,688.43
Entertainment,AMC Theaters,music game streaming #2632,20.64
Shopping,Amazon,clothes purchase,48.67
Bills & Utilities,Verizon,monthly,186.94
Groceries,Safeway,groceries food #1112,122.55
Shopping,Amazon,shoes,30.43
Others,Various Services,general,393.7
Others,Miscellaneous,general misc,812.34
Food & Dining,McDonalds,dinner lunch,97.98
Entertainment,AMC Theaters,game #3765,37.52
Groceries,Safeway,dairy meat,146.79
Transportation,Metro,taxi transit #4200,24.71
Others,Miscellaneous,other service #1409,148.34
Transportation,Metro,gas ride transportation,22.7
Shopping,Target,purchase shoes #8893,272.35
Groceries,Trader Joes,meat dairy,129.73
Food & Dining,Local Restaurant,takeout,473.44
Healthcare,CVS,medical #5222,277.69
Food & Dining,Local Restaurant,delivery dinner,997.6
Bills & Utilities,Electric Company,service,488.77
Transportation,Lyft,transportation fuel,31.8
Entertainment,Steam,movie entertainment,18.32
Transportation,Shell,transit,14.92
Groceries,Kroger,dairy food,63.6
Others,Various Services,other,753.15
Bills & Utilities,AT&T,bill utility monthly #4152,329.62
Others,Various Services,payment,510.96
Others,Various Services,misc,211.08
Transportation,Lyft,fuel,72.43
Others,Miscellaneous,service general other #5022,947.07
Food & Dining,Subway,delivery takeout #9610,980.0
Entertainment,Steam,music streaming game #1387,14.03
Bills & Utilities,Electric Company,utility payment bill #2066,289.76
Shopping,Target,clothes,266.64
Shopping,Best Buy,clothes electronics,52.93
Healthcare,Walgreens,medicine prescription medical,429.89
Shopping,Amazon,electronics #9418,164.96
Entertainment,Spotify,entertainment,18.57
Transportation,Lyft,transportation transit ride,27.76
Bills & Utilities,Verizon,service bill,461.48
Bills & Utilities,Verizon,monthly payment #5699,68.0
Transportation,Uber,taxi gas,78.85
Groceries,Walmart,produce food dairy,56.54
Healthcare,Walgreens,medicine medical health,444.26
Transportation,Lyft,gas fuel ride,77.0
Shopping,Best Buy,clothes #8562,282.04
Food & Dining,Local Restaurant,restaurant takeout,11.88
Shopping,Amazon,accessories purchase,87.53
Food & Dining,Local Restaurant,lunch,216.12
Others,Unknown Vendor,other #5328,646.0
Shopping,Amazon,clothes,15.58
Shopping,Target,electronics accessories purchase,217.4
Food & Dining,Chipotle,lunch,312.94
Entertainment,Steam,entertainment music #4831,24.97
Food & Dining,Local Restaurant,dinner lunch,673.8
Transportation,Metro,ride fuel transit,53.25
Healthcare,Walgreens,health #8673,483.34
Shopping,Amazon,shoes,237.04
Entertainment,Spotify,game movie,46.76
Entertainment,Netflix,music movie game,35.88
Groceries,Whole Foods,groceries produce,84.81
Food & Dining,Pizza Hut,restaurant #1348,586.29
Transportation,Metro,transit,30.31
Others,Unknown Vendor,misc,498.82
Healthcare,CVS,health doctor,473.7
Transportation,Lyft,transportation,17.88
Entertainment,Spotify,movie,11.66
Entertainment,Netflix,movie streaming music,46.56
Shopping,Best Buy,purchase,246.56
Shopping,Nike,shoes purchase,235.2
Bills & Utilities,Verizon,service bill monthly,280.26
Transportation,Uber,fuel transit,34.95
Others,Various Services,other #7188,716.36
Entertainment,AMC Theaters,movie streaming entertainment,15.73
Bills & Utilities,Verizon,payment monthly #9477,946.37
Entertainment,Xbox,music entertainment streaming,29.53
Entertainment,AMC Theaters,streaming music movie,25.94
Bills & Utilities,Verizon,utility,158.57
Transportation,BP,transit gas taxi,20.49
Food & Dining,McDonalds,restaurant,435.6
Groceries,Whole Foods,produce bread,67.79
Others,Unknown Vendor,misc general other #6837,200.13
Healthcare,Walgreens,doctor medical,228.88
Healthcare,Quest Diagnostics,medicine medical doctor,434.43
Food & Dining,Subway,delivery dinner #6626,695.56
Food & Dining,Subway,dinner,904.88
Bills & Utilities,Verizon,monthly utility service,853.14
Food & Dining,Pizza Hut,restaurant,503.65
Healthcare,Walgreens,doctor medical medicine,359.06
Food & Dining,Subway,takeout,312.94
Bills & Utilities,Water Service,service,988.66
Groceries,Safeway,bread dairy groceries,174.74
Shopping,H&M,shoes,267.8
Healthcare,Local Clinic,doctor,261.63
Food & Dining,McDonalds,meal restaurant,122.62
Others,Various Services,general service misc #4011,979.0
Food & Dining,Subway,takeout dinner,87.65
Shopping,Nike,purchase electronics #9187,88.77
Food & Dining,Chipotle,delivery restaurant takeout,278.34
Transportation,Lyft,taxi,9.34
Food & Dining,Pizza Hut,delivery dinner #3928,910.09
Shopping,Best Buy,accessories purchase clothes,167.93
Shopping,Best Buy,accessories purchase shoes,188.52
Bills & Utilities,AT&T,utility service bill,422.88
Others,Unknown Vendor,general misc other,553.77
Healthcare,Quest Diagnostics,health medical prescription,297.27
Transportation,BP,gas fuel transit,69.13
Groceries,Kroger,produce food meat,100.77
Food & Dining,Local Restaurant,takeout,398.17
Others,Various Services,general #4201,336.33
Others,Miscellaneous,misc payment service #2434,721.45
Food & Dining,Local Restaurant,restaurant takeout,951.53
Food & Dining,Chipotle,dinner,72.97
Entertainment,AMC Theaters,movie game,18.8
Entertainment,Spotify,movie game #3036,49.58
Transportation,Uber,taxi #8453,58.06
Healthcare,CVS,prescription medicine #8038,51.47
Bills & Utilities,Electric Company,service,824.97
Groceries,Whole Foods,groceries,67.63
Groceries,Safeway,food bread groceries,20.92
Groceries,Safeway,food groceries dairy,120.53
Food & Dining,Local Restaurant,takeout,817.68
Shopping,H&M,shoes clothes #4865,175.05
Bills & Utilities,Verizon,monthly,975.62
Groceries,Kroger,meat produce,87.67
Food & Dining,Local Restaurant,dinner,559.99
Food & Dining,Pizza Hut,takeout lunch,241.19
Entertainment,Netflix,music,23.78
Healthcare,CVS,doctor #2942,181.84
Shopping,Amazon,accessories shoes clothes #6436,34.08
Groceries,Safeway,produce food #1549,125.36
Shopping,Best Buy,clothes shoes,33.59
Food & Dining,Local Restaurant,delivery meal restaurant #8461,931.52
Groceries,Safeway,food meat dairy,67.76
Transportation,Shell,gas fuel ride #3685,12.47
Others,Unknown Vendor,other general #8040,915.21
Others,Miscellaneous,general payment,824.9
Groceries,Kroger,produce dairy meat,22.13
Entertainment,Netflix,game movie,33.09
Healthcare,CVS,medical doctor #8247,389.27
Healthcare,Quest Diagnostics,medicine health prescription,485.47
Shopping,Nike,purchase accessories #5516,207.39
Food & Dining,Chipotle,lunch,221.29
Shopping,Amazon,electronics,91.22
Transportation,BP,taxi gas ride #9564,36.0
Others,Various Services,general other,799.25
Entertainment,Spotify,streaming music #8877,12.94
Bills & Utilities,AT&T,utility service monthly,280.36
Shopping,Nike,electronics purchase shoes,203.98
Healthcare,Walgreens,medicine prescription health #8290,309.13
Food & Dining,McDonalds,delivery,704.54
Transportation,Uber,transit #1228,7.27
Shopping,Amazon,clothes,173.29
Bills & Utilities,AT&T,payment bill,774.65
Healthcare,Quest Diagnostics,doctor,264.9
Groceries,Trader Joes,bread #2902,118.09
Healthcare,Quest Diagnostics,doctor medicine medical,444.97
Bills & Utilities,Verizon,bill utility,288.93
Entertainment,Steam,streaming game music,34.84
Entertainment,Spotify,game streaming movie,16.08
Food & Dining,Subway,meal restaurant #6404,702.7
Bills & Utilities,Verizon,bill service,401.5
Shopping,Amazon,purchase,59.77
Shopping,Nike,electronics,129.39
Groceries,Safeway,dairy #7967,122.42
Healthcare,Walgreens,doctor #9083,364.04
Others,Miscellaneous,payment misc general,595.65
Bills & Utilities,Electric Company,payment monthly service,325.62
Bills & Utilities,Electric Company,utility,548.51
Groceries,Whole Foods,dairy bread meat #5382,187.74
Entertainment,AMC Theaters,game movie,21.09
Groceries,Safeway,bread meat groceries #8465,169.0
Transportation,Uber,transit,14.41
Healthcare,Quest Diagnostics,health doctor medical #1759,86.76
Others,Various Services,general #1203,828.73
Entertainment,Spotify,game music streaming,41.83
Healthcare,Local Clinic,medical health,273.31
Food & Dining,Pizza Hut,lunch,184.08
Healthcare,Walgreens,medical prescription doctor,413.55
Food & Dining,Chipotle,delivery restaurant takeout #3006,707.16
Food & Dining,Local Restaurant,meal,258.44
Others,Unknown Vendor,payment other service,878.14
Food & Dining,McDonalds,meal delivery takeout #7459,894.26
Food & Dining,McDonalds,restaurant #1202,368.54
Food & Dining,Subway,delivery lunch,250.31
Healthcare,Quest Diagnostics,doctor,48.27
Bills & Utilities,Verizon,payment monthly utility,737.32
Bills & Utilities,Verizon,monthly utility bill #1008,988.49
Food & Dining,Chipotle,meal lunch delivery #4098,593.26
Food & Dining,Chipotle,dinner meal restaurant #7329,657.22
Food & Dining,Local Restaurant,dinner,119.63
Bills & Utilities,Electric Company,bill #3564,509.49
Transportation,BP,gas fuel transit #2402,42.65
